trial,inSync,response,isFeedback,srcFile,day,session,heartRate,heartRateSD
0,0,1,0,sub08fbtr1,1,1,89.6,16.4
1,1,1,0,sub08fbtr1,1,1,82.7,2.4
2,0,1,0,sub08fbtr1,1,1,81.9,2.6
3,0,1,0,sub08fbtr1,1,1,83.1,4.1
4,0,1,0,sub08fbtr1,1,1,83.4,3.4
5,0,0,0,sub08fbtr1,1,1,85.1,4.0
6,0,0,0,sub08fbtr1,1,1,79.9,4.4
7,1,0,0,sub08fbtr1,1,1,91.7,1.8
8,1,1,0,sub08fbtr1,1,1,83.1,3.6
9,1,1,0,sub08fbtr1,1,1,84.6,3.4
10,0,1,0,sub08fbtr1,1,1,85.3,2.7
11,1,0,0,sub08fbtr1,1,1,85.6,3.8
12,0,1,0,sub08fbtr1,1,1,84.1,2.5
13,1,1,0,sub08fbtr1,1,1,83.2,4.3
14,0,0,0,sub08fbtr1,1,1,83.2,4.9
15,1,0,0,sub08fbtr1,1,1,88.6,5.4
16,1,1,0,sub08fbtr1,1,1,81.8,7.6
17,1,0,0,sub08fbtr1,1,1,91.6,4.7
18,0,1,0,sub08fbtr1,1,1,85.3,5.4
19,1,1,0,sub08fbtr1,1,1,87.6,2.9
20,0,1,1,sub08fbtr1A,1,1A,83.5,13.3
21,1,0,1,sub08fbtr1A,1,1A,76.4,6.1
22,0,0,1,sub08fbtr1A,1,1A,78.7,4.6
23,0,1,1,sub08fbtr1A,1,1A,81.4,4.8
24,0,1,1,sub08fbtr1A,1,1A,80.7,4.3
25,0,1,1,sub08fbtr1A,1,1A,84.1,2.4
26,0,1,1,sub08fbtr1A,1,1A,86.1,2.2
27,1,0,1,sub08fbtr1A,1,1A,82.7,4.1
28,1,1,1,sub08fbtr1A,1,1A,88.5,4.8
29,1,1,1,sub08fbtr1A,1,1A,85.4,3.2
30,0,0,1,sub08fbtr1A,1,1A,91.1,4.9
31,1,1,1,sub08fbtr1A,1,1A,84.9,5.2
32,0,1,1,sub08fbtr1A,1,1A,83.8,2.6
33,1,1,1,sub08fbtr1A,1,1A,84.4,3.4
34,0,0,1,sub08fbtr1A,1,1A,86.2,4.9
35,1,1,1,sub08fbtr1A,1,1A,82.4,7.3
36,1,0,1,sub08fbtr1A,1,1A,86.4,3.0
37,1,1,1,sub08fbtr1A,1,1A,85.7,4.9
38,0,1,1,sub08fbtr1A,1,1A,85.5,1.9
39,1,1,1,sub08fbtr1A,1,1A,96.8,20.2
40,1,1,0,sub08fbtr2,2,2,100.9,26.8
41,0,1,0,sub08fbtr2,2,2,100.1,20.1
42,0,0,0,sub08fbtr2,2,2,87.5,17.1
43,1,1,0,sub08fbtr2,2,2,82.6,10.0
44,1,1,0,sub08fbtr2,2,2,83.2,7.6
45,1,1,0,sub08fbtr2,2,2,84.1,5.9
46,1,0,0,sub08fbtr2,2,2,96.8,26.6
47,1,1,0,sub08fbtr2,2,2,94.4,29.0
48,0,1,0,sub08fbtr2,2,2,95.7,21.2
49,1,0,0,sub08fbtr2,2,2,104.3,29.4
50,0,1,0,sub08fbtr2,2,2,87.3,18.6
51,1,0,0,sub08fbtr2,2,2,95.3,31.4
52,0,0,0,sub08fbtr2,2,2,73.0,1.9
53,0,1,0,sub08fbtr2,2,2,77.3,6.8
54,0,1,0,sub08fbtr2,2,2,78.7,3.8
55,0,1,0,sub08fbtr2,2,2,83.4,3.2
56,0,1,0,sub08fbtr2,2,2,79.7,20.0
57,1,1,0,sub08fbtr2,2,2,78.6,2.1
58,1,0,0,sub08fbtr2,2,2,112.2,36.3
59,0,0,0,sub08fbtr2,2,2,93.5,23.9
60,0,1,1,sub08fbtr2A,2,2A,82.9,7.8
61,0,1,1,sub08fbtr2A,2,2A,77.6,4.4
62,1,0,1,sub08fbtr2A,2,2A,80.6,3.5
63,1,1,1,sub08fbtr2A,2,2A,78.2,6.0
64,1,1,1,sub08fbtr2A,2,2A,85.6,5.8
65,0,0,1,sub08fbtr2A,2,2A,95.8,24.5
66,1,0,1,sub08fbtr2A,2,2A,108.6,35.4
67,0,1,1,sub08fbtr2A,2,2A,84.5,5.5
68,1,0,1,sub08fbtr2A,2,2A,98.1,34.0
