trial,inSync,response,isFeedback,srcFile,day,session,heartRate,heartRateSD
0,0,1,0,sub01fbtr1,1,1,76.4,3.5
1,1,1,0,sub01fbtr1,1,1,77.1,2.8
2,1,0,0,sub01fbtr1,1,1,74.1,2.2
3,1,1,0,sub01fbtr1,1,1,73.0,1.9
4,1,0,0,sub01fbtr1,1,1,76.7,1.7
5,1,1,0,sub01fbtr1,1,1,74.5,4.4
6,0,0,0,sub01fbtr1,1,1,69.9,2.9
7,1,1,0,sub01fbtr1,1,1,72.5,2.5
8,1,1,0,sub01fbtr1,1,1,72.2,2.3
9,1,0,0,sub01fbtr1,1,1,77.4,13.2
10,1,1,0,sub01fbtr1,1,1,75.3,1.7
11,1,1,0,sub01fbtr1,1,1,72.1,2.5
12,0,0,0,sub01fbtr1,1,1,71.8,3.6
13,1,1,0,sub01fbtr1,1,1,71.4,2.3
14,1,0,0,sub01fbtr1,1,1,73.7,6.4
15,1,0,0,sub01fbtr1,1,1,78.2,2.1
16,1,1,0,sub01fbtr1,1,1,72.1,1.8
17,1,1,0,sub01fbtr1,1,1,72.5,2.3
18,0,1,0,sub01fbtr1,1,1,74.0,1.8
19,0,1,0,sub01fbtr1,1,1,79.5,4.5
20,0,1,1,sub01fbtr1A,1,1A,75.1,3.0
21,1,0,1,sub01fbtr1A,1,1A,72.8,2.7
22,1,1,1,sub01fbtr1A,1,1A,73.8,3.0
23,1,1,1,sub01fbtr1A,1,1A,76.7,1.8
24,1,0,1,sub01fbtr1A,1,1A,72.4,2.9
25,1,1,1,sub01fbtr1A,1,1A,71.5,2.6
26,0,1,1,sub01fbtr1A,1,1A,75.7,2.6
27,1,0,1,sub01fbtr1A,1,1A,71.6,2.0
28,1,1,1,sub01fbtr1A,1,1A,72.7,3.0
29,1,1,1,sub01fbtr1A,1,1A,74.2,1.3
30,1,0,1,sub01fbtr1A,1,1A,74.0,4.1
31,1,1,1,sub01fbtr1A,1,1A,72.2,2.1
32,0,0,1,sub01fbtr1A,1,1A,72.0,2.0
33,1,0,1,sub01fbtr1A,1,1A,71.1,1.7
34,1,1,1,sub01fbtr1A,1,1A,70.4,3.3
35,1,0,1,sub01fbtr1A,1,1A,70.8,8.0
36,1,1,1,sub01fbtr1A,1,1A,73.7,2.4
37,1,1,1,sub01fbtr1A,1,1A,80.3,1.5
38,0,1,1,sub01fbtr1A,1,1A,71.9,2.7
39,0,1,1,sub01fbtr1A,1,1A,74.6,2.3
40,0,1,0,sub01fbtr2,2,2,76.5,1.6
