trial,inSync,response,isFeedback,srcFile,day,session,heartRate,heartRateSD
0,1,1,0,sub14fbtr1,1,1,76.0,4.4
1,1,1,0,sub14fbtr1,1,1,73.1,5.6
2,0,0,0,sub14fbtr1,1,1,73.3,5.7
3,1,1,0,sub14fbtr1,1,1,74.8,4.1
4,1,1,0,sub14fbtr1,1,1,76.0,4.0
5,0,1,0,sub14fbtr1,1,1,74.7,2.7
6,1,1,0,sub14fbtr1,1,1,76.1,2.8
7,1,0,0,sub14fbtr1,1,1,76.9,2.2
8,0,1,0,sub14fbtr1,1,1,77.0,2.2
9,1,1,0,sub14fbtr1,1,1,73.8,2.4
10,0,1,0,sub14fbtr1,1,1,77.1,2.3
11,1,0,0,sub14fbtr1,1,1,78.3,4.5
12,0,0,0,sub14fbtr1,1,1,74.2,2.4
13,0,1,0,sub14fbtr1,1,1,75.3,2.6
14,0,0,0,sub14fbtr1,1,1,75.7,3.1
15,0,0,0,sub14fbtr1,1,1,74.7,3.4
16,1,1,0,sub14fbtr1,1,1,77.3,5.0
17,0,1,0,sub14fbtr1,1,1,76.7,3.7
18,1,1,0,sub14fbtr1,1,1,73.6,3.6
19,0,0,0,sub14fbtr1,1,1,73.3,5.7
20,1,0,1,sub14fbtr1A,1,1A,80.1,5.9
21,0,1,1,sub14fbtr1A,1,1A,73.5,4.1
22,0,1,1,sub14fbtr1A,1,1A,72.4,4.7
23,1,1,1,sub14fbtr1A,1,1A,76.2,2.8
24,0,1,1,sub14fbtr1A,1,1A,78.9,2.2
25,0,0,1,sub14fbtr1A,1,1A,79.1,3.3
26,0,1,1,sub14fbtr1A,1,1A,75.0,2.3
27,0,1,1,sub14fbtr1A,1,1A,78.2,3.0
28,0,1,1,sub14fbtr1A,1,1A,77.2,2.6
29,0,1,1,sub14fbtr1A,1,1A,79.5,5.1
30,1,1,1,sub14fbtr1A,1,1A,77.4,2.8
31,1,0,1,sub14fbtr1A,1,1A,76.2,8.6
32,0,0,1,sub14fbtr1A,1,1A,77.0,4.5
33,1,0,1,sub14fbtr1A,1,1A,72.2,4.8
34,1,1,1,sub14fbtr1A,1,1A,78.9,4.3
35,1,0,1,sub14fbtr1A,1,1A,80.9,1.4
36,1,1,1,sub14fbtr1A,1,1A,77.5,3.3
37,0,0,1,sub14fbtr1A,1,1A,76.5,2.5
38,1,1,1,sub14fbtr1A,1,1A,78.2,3.8
39,1,1,1,sub14fbtr1A,1,1A,73.7,1.5
40,0,0,0,sub14fbtr2,2,2,73.6,4.9
41,0,0,0,sub14fbtr2,2,2,73.2,5.5
42,1,1,0,sub14fbtr2,2,2,73.8,4.2
43,0,1,0,sub14fbtr2,2,2,75.5,2.4
44,1,0,0,sub14fbtr2,2,2,74.3,3.1
45,1,0,0,sub14fbtr2,2,2,73.5,4.5
46,1,1,0,sub14fbtr2,2,2,73.2,6.8
47,0,1,0,sub14fbtr2,2,2,75.9,3.1
48,1,1,0,sub14fbtr2,2,2,74.3,5.6
49,0,0,0,sub14fbtr2,2,2,77.0,4.9
50,1,1,0,sub14fbtr2,2,2,84.9,8.2
51,0,1,0,sub14fbtr2,2,2,77.1,4.0
52,0,0,0,sub14fbtr2,2,2,75.5,4.8
53,1,1,0,sub14fbtr2,2,2,80.0,5.0
54,0,0,0,sub14fbtr2,2,2,74.5,3.9
55,1,1,0,sub14fbtr2,2,2,77.3,4.4
56,1,1,0,sub14fbtr2,2,2,74.0,2.2
57,1,1,0,sub14fbtr2,2,2,76.9,5.1
58,0,0,0,sub14fbtr2,2,2,77.9,5.7
59,0,0,0,sub14fbtr2,2,2,73.7,5.6
60,0,1,1,sub14fbtr2A,2,2A,83.8,6.7
61,1,0,1,sub14fbtr2A,2,2A,85.2,4.1
62,0,0,1,sub14fbtr2A,2,2A,82.0,4.2
63,1,1,1,sub14fbtr2A,2,2A,80.8,3.8
64,0,1,1,sub14fbtr2A,2,2A,80.4,3.2
65,1,1,1,sub14fbtr2A,2,2A,80.9,6.3
66,0,1,1,sub14fbtr2A,2,2A,87.1,6.0
67,0,1,1,sub14fbtr2A,2,2A,86.0,3.0
68,0,1,1,sub14fbtr2A,2,2A,81.0,8.5
69,0,1,1,sub14fbtr2A,2,2A,79.6,5.1
70,1,1,1,sub14fbtr2A,2,2A,81.4,2.4
71,1,0,1,sub14fbtr2A,2,2A,79.2,6.8
72,0,1,1,sub14fbtr2A,2,2A,88.8,5.5
73,0,1,1,sub14fbtr2A,2,2A,80.3,3.8
74,1,1,1,sub14fbtr2A,2,2A,77.1,3.2
75,0,0,1,sub14fbtr2A,2,2A,82.1,3.7
76,1,1,1,sub14fbtr2A,2,2A,84.5,1.8
77,1,1,1,sub14fbtr2A,2,2A,77.8,2.7
78,1,0,1,sub14fbtr2A,2,2A,82.6,4.1
79,1,1,1,sub14fbtr2A,2,2A,75.7,2.5
80,0,1,0,sub14fbtr3,3,3,70.3,3.4
81,1,0,0,sub14fbtr3,3,3,68.4,2.2
82,1,0,0,sub14fbtr3,3,3,69.4,2.5
83,0,0,0,sub14fbtr3,3,3,71.4,3.9
84,1,1,0,sub14fbtr3,3,3,71.5,3.4
85,1,0,0,sub14fbtr3,3,3,66.9,10.2
86,0,1,0,sub14fbtr3,3,3,70.4,3.1
87,1,1,0,sub14fbtr3,3,3,70.2,4.2
88,0,0,0,sub14fbtr3,3,3,73.8,5.2
89,0,1,0,sub14fbtr3,3,3,70.1,4.0
90,0,1,0,sub14fbtr3,3,3,75.0,2.7
91,1,0,0,sub14fbtr3,3,3,67.9,2.2
92,1,1,0,sub14fbtr3,3,3,67.9,2.3
93,0,1,0,sub14fbtr3,3,3,70.2,2.6
94,0,1,0,sub14fbtr3,3,3,72.6,2.6
95,1,1,0,sub14fbtr3,3,3,70.0,3.1
96,0,0,0,sub14fbtr3,3,3,64.6,3.2
97,1,0,0,sub14fbtr3,3,3,68.1,2.1
98,0,0,0,sub14fbtr3,3,3,72.6,3.2
99,1,1,0,sub14fbtr3,3,3,69.3,3.2
100,1,0,1,sub14fbtr3A,3,3A,76.8,3.8
101,0,0,1,sub14fbtr3A,3,3A,76.5,3.4
102,1,0,1,sub14fbtr3A,3,3A,73.2,3.7
103,0,0,1,sub14fbtr3A,3,3A,73.6,7.3
104,0,1,1,sub14fbtr3A,3,3A,74.1,3.0
105,0,0,1,sub14fbtr3A,3,3A,76.0,3.2
106,1,1,1,sub14fbtr3A,3,3A,73.6,4.6
107,1,1,1,sub14fbtr3A,3,3A,73.4,2.6
108,0,0,1,sub14fbtr3A,3,3A,77.2,3.6
109,0,1,1,sub14fbtr3A,3,3A,77.0,4.9
110,1,1,1,sub14fbtr3A,3,3A,75.4,5.7
111,1,0,1,sub14fbtr3A,3,3A,72.7,3.5
112,1,0,1,sub14fbtr3A,3,3A,67.3,6.5
113,0,0,1,sub14fbtr3A,3,3A,73.0,4.9
114,0,1,1,sub14fbtr3A,3,3A,73.3,4.9
115,1,1,1,sub14fbtr3A,3,3A,76.2,1.7
116,0,0,1,sub14fbtr3A,3,3A,76.9,2.6
117,1,1,1,sub14fbtr3A,3,3A,76.1,3.7
118,1,0,1,sub14fbtr3A,3,3A,73.7,4.2
119,0,0,1,sub14fbtr3A,3,3A,81.5,4.2
120,1,1,0,sub14fbtr4,4,4,84.0,4.6
121,0,1,0,sub14fbtr4,4,4,83.3,5.5
122,0,1,0,sub14fbtr4,4,4,85.4,7.9
123,1,1,0,sub14fbtr4,4,4,80.9,4.5
124,0,0,0,sub14fbtr4,4,4,81.2,4.4
125,1,1,0,sub14fbtr4,4,4,76.0,3.8
126,1,0,0,sub14fbtr4,4,4,79.7,2.0
127,0,1,0,sub14fbtr4,4,4,90.3,2.7
128,1,1,0,sub14fbtr4,4,4,81.2,6.5
129,1,0,0,sub14fbtr4,4,4,81.2,7.9
130,0,0,0,sub14fbtr4,4,4,89.5,8.7
131,0,1,0,sub14fbtr4,4,4,80.4,3.4
132,0,0,0,sub14fbtr4,4,4,82.0,7.0
133,1,1,0,sub14fbtr4,4,4,81.2,8.9
134,0,0,0,sub14fbtr4,4,4,76.3,5.0
135,1,0,0,sub14fbtr4,4,4,80.7,4.5
136,0,0,0,sub14fbtr4,4,4,82.5,6.0
137,0,0,0,sub14fbtr4,4,4,81.6,5.2
138,1,1,0,sub14fbtr4,4,4,79.2,2.0
139,1,1,0,sub14fbtr4,4,4,81.7,3.7
140,1,1,1,sub14fbtr4A,4,4A,87.1,3.7
141,0,0,1,sub14fbtr4A,4,4A,88.3,3.9
142,0,0,1,sub14fbtr4A,4,4A,89.4,3.8
143,1,0,1,sub14fbtr4A,4,4A,89.8,4.1
144,1,1,1,sub14fbtr4A,4,4A,88.2,5.5
145,0,1,1,sub14fbtr4A,4,4A,90.7,9.8
146,1,1,1,sub14fbtr4A,4,4A,91.4,3.9
147,0,1,1,sub14fbtr4A,4,4A,87.9,8.1
148,1,0,1,sub14fbtr4A,4,4A,91.8,6.3
149,1,0,1,sub14fbtr4A,4,4A,83.0,5.0
150,1,1,1,sub14fbtr4A,4,4A,81.1,5.5
151,0,0,1,sub14fbtr4A,4,4A,88.6,2.3
152,0,1,1,sub14fbtr4A,4,4A,86.3,6.2
153,0,1,1,sub14fbtr4A,4,4A,82.4,4.5
154,0,1,1,sub14fbtr4A,4,4A,86.0,4.7
155,0,1,1,sub14fbtr4A,4,4A,86.1,1.3
156,1,0,1,sub14fbtr4A,4,4A,86.5,2.2
157,1,0,1,sub14fbtr4A,4,4A,84.7,4.5
158,0,1,1,sub14fbtr4A,4,4A,83.4,3.0
