trial,inSync,response,isFeedback,srcFile,day,session,heartRate,heartRateSD
0,0,0,0,sub17fbtr1,1,1,80.5,4.3
1,0,0,0,sub17fbtr1,1,1,83.4,1.5
2,0,1,0,sub17fbtr1,1,1,83.1,1.4
3,1,1,0,sub17fbtr1,1,1,86.5,1.9
4,1,1,0,sub17fbtr1,1,1,89.3,4.3
5,0,0,0,sub17fbtr1,1,1,87.3,1.7
6,1,0,0,sub17fbtr1,1,1,89.0,2.1
7,1,1,0,sub17fbtr1,1,1,88.5,2.7
8,0,0,0,sub17fbtr1,1,1,84.3,1.0
9,1,1,0,sub17fbtr1,1,1,87.5,2.1
10,1,1,0,sub17fbtr1,1,1,87.4,2.7
11,1,0,0,sub17fbtr1,1,1,87.6,2.6
12,0,0,0,sub17fbtr1,1,1,84.5,2.1
13,0,0,0,sub17fbtr1,1,1,84.7,2.2
14,0,1,0,sub17fbtr1,1,1,88.6,3.1
15,0,0,0,sub17fbtr1,1,1,92.1,3.0
16,1,0,0,sub17fbtr1,1,1,92.0,1.9
17,1,0,0,sub17fbtr1,1,1,87.2,5.9
18,1,1,0,sub17fbtr1,1,1,90.8,1.6
19,0,1,0,sub17fbtr1,1,1,91.7,1.7
20,1,1,1,sub17fbtr1A,1,1A,96.0,1.6
21,0,0,1,sub17fbtr1A,1,1A,97.2,1.9
22,0,0,1,sub17fbtr1A,1,1A,94.9,1.8
23,0,1,1,sub17fbtr1A,1,1A,95.1,1.0
24,1,0,1,sub17fbtr1A,1,1A,87.3,1.2
25,0,1,1,sub17fbtr1A,1,1A,91.0,3.3
26,0,1,1,sub17fbtr1A,1,1A,93.2,2.1
27,1,0,1,sub17fbtr1A,1,1A,86.6,17.7
28,1,1,1,sub17fbtr1A,1,1A,90.9,2.1
29,1,1,1,sub17fbtr1A,1,1A,95.7,4.1
30,1,1,1,sub17fbtr1A,1,1A,93.8,1.8
31,0,1,1,sub17fbtr1A,1,1A,92.0,3.4
32,0,1,1,sub17fbtr1A,1,1A,95.3,1.8
33,1,0,1,sub17fbtr1A,1,1A,94.7,2.5
34,0,1,1,sub17fbtr1A,1,1A,96.1,3.1
35,0,1,1,sub17fbtr1A,1,1A,100.9,12.4
36,1,0,1,sub17fbtr1A,1,1A,87.6,1.9
37,1,1,1,sub17fbtr1A,1,1A,94.2,1.9
38,0,1,1,sub17fbtr1A,1,1A,92.0,1.8
39,1,0,1,sub17fbtr1A,1,1A,91.0,1.8
40,1,1,0,sub17fbtr2,2,2,74.2,2.6
41,1,1,0,sub17fbtr2,2,2,70.9,1.6
42,0,0,0,sub17fbtr2,2,2,73.4,1.6
43,0,1,0,sub17fbtr2,2,2,71.3,2.9
44,0,1,0,sub17fbtr2,2,2,70.4,2.7
45,1,1,0,sub17fbtr2,2,2,75.3,3.0
46,1,1,0,sub17fbtr2,2,2,80.6,3.6
47,0,1,0,sub17fbtr2,2,2,81.0,1.9
48,1,1,0,sub17fbtr2,2,2,82.9,4.3
49,0,1,0,sub17fbtr2,2,2,75.9,2.8
50,0,1,0,sub17fbtr2,2,2,78.9,2.9
51,0,0,0,sub17fbtr2,2,2,74.9,3.0
52,0,1,0,sub17fbtr2,2,2,78.2,3.3
53,0,1,0,sub17fbtr2,2,2,73.8,4.7
54,0,0,0,sub17fbtr2,2,2,80.5,3.0
55,1,1,0,sub17fbtr2,2,2,77.2,3.0
56,1,0,0,sub17fbtr2,2,2,78.7,2.7
57,1,0,0,sub17fbtr2,2,2,75.2,2.4
58,1,1,0,sub17fbtr2,2,2,78.1,1.6
59,1,1,0,sub17fbtr2,2,2,81.6,4.5
60,1,0,1,sub17fbtr2A,2,2A,76.8,3.4
61,1,1,1,sub17fbtr2A,2,2A,69.4,4.0
62,0,1,1,sub17fbtr2A,2,2A,80.9,3.5
63,1,1,1,sub17fbtr2A,2,2A,77.1,3.4
64,0,1,1,sub17fbtr2A,2,2A,75.2,3.6
65,0,0,1,sub17fbtr2A,2,2A,82.0,2.6
66,1,0,1,sub17fbtr2A,2,2A,74.2,3.6
67,1,1,1,sub17fbtr2A,2,2A,81.3,2.4
68,0,0,1,sub17fbtr2A,2,2A,78.3,2.6
69,1,1,1,sub17fbtr2A,2,2A,83.2,3.1
70,1,1,1,sub17fbtr2A,2,2A,71.7,2.7
71,0,1,1,sub17fbtr2A,2,2A,81.4,8.4
72,0,0,1,sub17fbtr2A,2,2A,74.2,3.7
73,1,1,1,sub17fbtr2A,2,2A,81.2,3.7
74,0,0,1,sub17fbtr2A,2,2A,80.1,3.8
75,0,1,1,sub17fbtr2A,2,2A,83.0,2.4
76,0,1,1,sub17fbtr2A,2,2A,82.9,3.6
77,1,1,1,sub17fbtr2A,2,2A,81.1,3.1
78,0,1,1,sub17fbtr2A,2,2A,86.3,2.5
79,1,0,1,sub17fbtr2A,2,2A,78.1,2.2
80,1,1,0,sub17fbtr3,3,3,98.3,2.1
81,0,1,0,sub17fbtr3,3,3,99.3,2.4
82,1,1,0,sub17fbtr3,3,3,100.2,3.7
83,0,1,0,sub17fbtr3,3,3,94.6,4.2
84,0,0,0,sub17fbtr3,3,3,100.0,2.9
85,1,1,0,sub17fbtr3,3,3,99.4,2.1
86,1,0,0,sub17fbtr3,3,3,101.1,4.6
87,1,0,0,sub17fbtr3,3,3,96.8,6.4
88,0,1,0,sub17fbtr3,3,3,99.7,2.6
89,0,1,0,sub17fbtr3,3,3,98.1,2.1
90,0,1,0,sub17fbtr3,3,3,95.1,5.4
91,1,1,0,sub17fbtr3,3,3,86.0,2.7
92,0,1,0,sub17fbtr3,3,3,91.0,1.2
93,0,1,0,sub17fbtr3,3,3,85.9,1.3
94,1,0,0,sub17fbtr3,3,3,103.1,2.2
95,1,1,0,sub17fbtr3,3,3,92.9,2.0
96,1,1,0,sub17fbtr3,3,3,87.5,1.5
97,1,1,0,sub17fbtr3,3,3,87.2,1.4
98,0,0,0,sub17fbtr3,3,3,92.2,1.6
99,0,0,0,sub17fbtr3,3,3,89.5,1.7
100,1,1,1,sub17fbtr3A,3,3A,88.2,3.6
101,1,1,1,sub17fbtr3A,3,3A,86.2,3.3
102,1,1,1,sub17fbtr3A,3,3A,85.0,2.9
103,0,0,1,sub17fbtr3A,3,3A,93.8,2.6
104,1,1,1,sub17fbtr3A,3,3A,90.5,1.3
105,0,1,1,sub17fbtr3A,3,3A,93.5,0.9
106,0,1,1,sub17fbtr3A,3,3A,93.7,2.4
107,1,1,1,sub17fbtr3A,3,3A,87.9,1.8
108,0,1,1,sub17fbtr3A,3,3A,93.3,8.3
109,1,1,1,sub17fbtr3A,3,3A,86.7,2.2
110,0,1,1,sub17fbtr3A,3,3A,85.0,7.3
111,0,0,1,sub17fbtr3A,3,3A,91.3,1.8
112,1,0,1,sub17fbtr3A,3,3A,97.4,8.1
113,0,1,1,sub17fbtr3A,3,3A,81.8,10.1
114,1,0,1,sub17fbtr3A,3,3A,88.5,1.8
115,1,0,1,sub17fbtr3A,3,3A,95.7,19.9
116,1,1,1,sub17fbtr3A,3,3A,83.8,2.6
117,0,1,1,sub17fbtr3A,3,3A,92.3,2.1
118,0,1,1,sub17fbtr3A,3,3A,86.9,2.1
119,0,1,1,sub17fbtr3A,3,3A,88.6,6.1
120,0,0,0,sub17fbtr4,4,4,97.5,1.5
121,1,1,0,sub17fbtr4,4,4,96.9,1.5
122,0,0,0,sub17fbtr4,4,4,96.0,1.6
123,0,0,0,sub17fbtr4,4,4,100.1,2.5
124,0,0,0,sub17fbtr4,4,4,96.3,3.2
125,1,1,0,sub17fbtr4,4,4,94.9,4.8
126,1,1,0,sub17fbtr4,4,4,99.8,2.4
127,0,0,0,sub17fbtr4,4,4,95.3,3.8
128,1,1,0,sub17fbtr4,4,4,98.9,1.5
129,1,0,0,sub17fbtr4,4,4,93.3,4.3
130,0,1,0,sub17fbtr4,4,4,95.3,2.9
131,1,1,0,sub17fbtr4,4,4,95.4,2.8
132,1,1,0,sub17fbtr4,4,4,96.4,2.6
133,0,1,0,sub17fbtr4,4,4,94.8,2.2
134,0,1,0,sub17fbtr4,4,4,94.8,1.5
135,0,0,0,sub17fbtr4,4,4,92.4,4.7
136,1,1,0,sub17fbtr4,4,4,90.9,2.8
137,1,0,0,sub17fbtr4,4,4,91.9,3.3
138,1,1,0,sub17fbtr4,4,4,103.8,1.0
139,0,1,0,sub17fbtr4,4,4,97.9,3.5
140,0,0,1,sub17fbtr4A,4,4A,94.8,1.1
141,1,0,1,sub17fbtr4A,4,4A,89.0,1.8
142,1,0,1,sub17fbtr4A,4,4A,96.6,2.3
143,1,0,1,sub17fbtr4A,4,4A,92.4,4.2
144,0,1,1,sub17fbtr4A,4,4A,91.4,2.2
145,1,1,1,sub17fbtr4A,4,4A,86.5,2.2
146,1,0,1,sub17fbtr4A,4,4A,91.1,2.5
147,0,0,1,sub17fbtr4A,4,4A,97.1,2.3
148,1,1,1,sub17fbtr4A,4,4A,94.3,2.5
149,0,1,1,sub17fbtr4A,4,4A,93.1,2.0
150,0,1,1,sub17fbtr4A,4,4A,88.2,3.5
151,0,1,1,sub17fbtr4A,4,4A,87.2,1.8
152,0,0,1,sub17fbtr4A,4,4A,88.8,2.3
153,0,1,1,sub17fbtr4A,4,4A,89.6,2.2
154,1,1,1,sub17fbtr4A,4,4A,87.6,2.0
155,0,1,1,sub17fbtr4A,4,4A,90.8,3.9
156,0,1,1,sub17fbtr4A,4,4A,91.7,1.2
157,1,1,1,sub17fbtr4A,4,4A,91.5,1.6
158,1,1,1,sub17fbtr4A,4,4A,88.6,2.4
159,1,0,1,sub17fbtr4A,4,4A,86.6,4.2
160,0,1,0,sub17fbtr5,5,5,89.0,2.4
161,1,1,0,sub17fbtr5,5,5,86.3,1.3
162,0,1,0,sub17fbtr5,5,5,91.0,3.5
163,1,1,0,sub17fbtr5,5,5,90.7,3.1
164,0,0,0,sub17fbtr5,5,5,80.6,3.0
165,0,0,0,sub17fbtr5,5,5,78.0,4.6
166,0,1,0,sub17fbtr5,5,5,90.6,2.6
167,1,0,0,sub17fbtr5,5,5,89.5,1.8
168,0,1,0,sub17fbtr5,5,5,86.8,2.8
169,1,1,0,sub17fbtr5,5,5,78.1,9.3
170,1,1,0,sub17fbtr5,5,5,87.5,3.5
171,1,0,0,sub17fbtr5,5,5,88.5,2.1
172,0,0,0,sub17fbtr5,5,5,95.1,7.3
173,0,1,0,sub17fbtr5,5,5,94.5,1.3
174,1,1,0,sub17fbtr5,5,5,93.5,2.0
175,0,0,0,sub17fbtr5,5,5,86.3,1.5
176,1,0,0,sub17fbtr5,5,5,80.6,5.8
177,1,1,0,sub17fbtr5,5,5,89.3,2.2
178,1,1,0,sub17fbtr5,5,5,90.1,1.8
179,0,1,0,sub17fbtr5,5,5,95.3,2.3
180,1,1,1,sub17fbtr5A,5,5A,91.0,3.4
181,0,1,1,sub17fbtr5A,5,5A,94.1,7.5
182,1,1,1,sub17fbtr5A,5,5A,97.5,1.7
183,1,1,1,sub17fbtr5A,5,5A,94.5,2.3
184,0,0,1,sub17fbtr5A,5,5A,95.8,1.6
185,1,1,1,sub17fbtr5A,5,5A,89.5,2.0
186,1,0,1,sub17fbtr5A,5,5A,83.8,8.9
187,1,0,1,sub17fbtr5A,5,5A,94.5,7.2
188,0,1,1,sub17fbtr5A,5,5A,96.9,2.8
189,0,0,1,sub17fbtr5A,5,5A,96.2,1.8
190,0,1,1,sub17fbtr5A,5,5A,102.0,2.5
191,0,0,1,sub17fbtr5A,5,5A,94.0,3.5
192,1,1,1,sub17fbtr5A,5,5A,94.4,3.2
193,1,0,1,sub17fbtr5A,5,5A,87.4,2.7
194,0,1,1,sub17fbtr5A,5,5A,93.2,2.8
195,0,1,1,sub17fbtr5A,5,5A,92.8,1.5
196,1,1,1,sub17fbtr5A,5,5A,97.1,8.4
197,0,1,1,sub17fbtr5A,5,5A,96.5,2.1
198,0,1,1,sub17fbtr5A,5,5A,91.2,1.5
199,1,1,1,sub17fbtr5A,5,5A,97.6,2.0
200,1,1,0,sub17fbtr6,6,6,85.5,2.6
201,0,0,0,sub17fbtr6,6,6,79.5,3.1
202,0,1,0,sub17fbtr6,6,6,86.9,2.0
203,0,1,0,sub17fbtr6,6,6,92.0,1.8
204,1,0,0,sub17fbtr6,6,6,90.5,8.9
205,1,1,0,sub17fbtr6,6,6,82.1,1.3
206,1,1,0,sub17fbtr6,6,6,87.5,2.7
207,0,0,0,sub17fbtr6,6,6,91.4,1.9
208,1,0,0,sub17fbtr6,6,6,83.3,6.5
209,0,1,0,sub17fbtr6,6,6,84.6,1.3
210,0,1,0,sub17fbtr6,6,6,87.7,2.3
211,0,1,0,sub17fbtr6,6,6,90.6,1.1
212,0,0,0,sub17fbtr6,6,6,90.8,2.1
213,1,1,0,sub17fbtr6,6,6,89.9,2.2
214,1,0,0,sub17fbtr6,6,6,86.1,3.3
215,0,0,0,sub17fbtr6,6,6,87.8,1.0
216,1,0,0,sub17fbtr6,6,6,85.0,2.4
217,1,1,0,sub17fbtr6,6,6,89.3,6.0
218,1,1,0,sub17fbtr6,6,6,87.9,3.0
219,0,1,0,sub17fbtr6,6,6,89.2,2.2
220,1,0,1,sub17fbtr6A,6,6A,89.7,7.0
221,1,0,1,sub17fbtr6A,6,6A,68.8,5.2
222,1,1,1,sub17fbtr6A,6,6A,68.4,3.2
223,1,1,1,sub17fbtr6A,6,6A,82.2,2.6
224,0,0,1,sub17fbtr6A,6,6A,83.1,4.7
225,0,1,1,sub17fbtr6A,6,6A,86.6,1.4
226,0,1,1,sub17fbtr6A,6,6A,87.3,1.4
227,1,1,1,sub17fbtr6A,6,6A,88.2,5.6
228,1,0,1,sub17fbtr6A,6,6A,84.8,4.8
229,0,0,1,sub17fbtr6A,6,6A,80.2,2.6
230,0,1,1,sub17fbtr6A,6,6A,87.6,1.2
231,0,1,1,sub17fbtr6A,6,6A,85.3,5.2
232,1,0,1,sub17fbtr6A,6,6A,92.0,2.8
233,1,1,1,sub17fbtr6A,6,6A,85.2,2.2
234,0,0,1,sub17fbtr6A,6,6A,87.0,3.4
235,0,1,1,sub17fbtr6A,6,6A,86.7,6.5
236,1,1,1,sub17fbtr6A,6,6A,89.6,2.1
237,0,1,1,sub17fbtr6A,6,6A,90.4,1.9
238,1,1,1,sub17fbtr6A,6,6A,83.1,2.9
239,0,0,1,sub17fbtr6A,6,6A,90.2,5.9
240,0,1,0,sub17fbtr7,7,7,80.5,11.5
241,0,0,0,sub17fbtr7,7,7,85.4,1.7
242,1,1,0,sub17fbtr7,7,7,87.1,1.4
243,1,0,0,sub17fbtr7,7,7,89.8,6.5
244,1,1,0,sub17fbtr7,7,7,88.7,2.8
245,1,1,0,sub17fbtr7,7,7,85.9,3.1
246,1,1,0,sub17fbtr7,7,7,87.8,3.7
247,0,1,0,sub17fbtr7,7,7,84.6,2.2
248,0,0,0,sub17fbtr7,7,7,90.4,3.9
249,0,1,0,sub17fbtr7,7,7,92.7,2.9
250,1,0,0,sub17fbtr7,7,7,88.1,2.1
251,0,1,0,sub17fbtr7,7,7,88.5,3.1
252,1,1,0,sub17fbtr7,7,7,88.2,0.9
253,0,1,0,sub17fbtr7,7,7,89.7,1.7
254,1,1,0,sub17fbtr7,7,7,88.0,1.3
255,0,1,0,sub17fbtr7,7,7,86.2,2.8
256,0,1,0,sub17fbtr7,7,7,87.8,3.8
257,1,1,0,sub17fbtr7,7,7,91.2,1.8
258,1,1,0,sub17fbtr7,7,7,87.9,2.8
259,0,1,0,sub17fbtr7,7,7,80.7,3.8
260,1,0,1,sub17fbtr7A,7,7A,86.7,4.8
261,1,1,1,sub17fbtr7A,7,7A,75.0,4.3
262,1,1,1,sub17fbtr7A,7,7A,82.5,3.2
263,1,1,1,sub17fbtr7A,7,7A,89.1,10.8
