trial,inSync,response,isFeedback,srcFile,day,session,heartRate,heartRateSD
0,0,0,0,sub26fbtr1,1,1,92.4,35.7
1,0,0,0,sub26fbtr1,1,1,92.8,30.4
2,0,0,0,sub26fbtr1,1,1,87.3,27.4
3,1,0,0,sub26fbtr1,1,1,65.0,4.3
4,1,1,0,sub26fbtr1,1,1,65.2,3.7
5,1,1,0,sub26fbtr1,1,1,62.1,3.9
6,1,1,0,sub26fbtr1,1,1,63.9,2.8
7,1,1,0,sub26fbtr1,1,1,64.2,4.1
8,0,1,0,sub26fbtr1,1,1,66.8,4.9
9,0,0,0,sub26fbtr1,1,1,66.0,5.4
10,1,0,0,sub26fbtr1,1,1,66.8,9.2
11,0,1,0,sub26fbtr1,1,1,64.6,7.4
12,0,0,0,sub26fbtr1,1,1,64.3,4.6
13,1,1,0,sub26fbtr1,1,1,62.1,5.4
14,1,1,0,sub26fbtr1,1,1,63.1,6.0
15,0,0,0,sub26fbtr1,1,1,64.4,4.4
16,0,1,0,sub26fbtr1,1,1,67.5,5.5
17,1,1,0,sub26fbtr1,1,1,63.9,3.3
18,1,1,0,sub26fbtr1,1,1,62.6,4.7
19,0,1,0,sub26fbtr1,1,1,64.3,3.5
20,0,0,1,sub26fbtr1A,1,1A,84.1,31.5
21,1,0,1,sub26fbtr1A,1,1A,60.8,6.0
22,0,1,1,sub26fbtr1A,1,1A,59.6,4.8
23,1,1,1,sub26fbtr1A,1,1A,73.7,29.2
24,1,1,1,sub26fbtr1A,1,1A,70.0,21.4
25,0,1,1,sub26fbtr1A,1,1A,63.8,6.6
26,0,0,1,sub26fbtr1A,1,1A,64.0,5.2
27,1,0,1,sub26fbtr1A,1,1A,65.4,5.9
28,1,0,1,sub26fbtr1A,1,1A,67.3,4.9
29,0,0,1,sub26fbtr1A,1,1A,67.1,6.1
30,0,1,1,sub26fbtr1A,1,1A,67.2,5.7
31,1,0,1,sub26fbtr1A,1,1A,69.6,6.1
32,1,0,1,sub26fbtr1A,1,1A,66.5,5.5
33,0,1,1,sub26fbtr1A,1,1A,63.3,4.3
34,0,0,1,sub26fbtr1A,1,1A,67.4,3.9
35,1,1,1,sub26fbtr1A,1,1A,68.8,5.7
36,0,1,1,sub26fbtr1A,1,1A,68.4,6.8
37,1,0,1,sub26fbtr1A,1,1A,70.0,12.1
38,0,1,1,sub26fbtr1A,1,1A,70.3,3.5
39,1,1,1,sub26fbtr1A,1,1A,72.3,5.5
40,1,1,0,sub26fbtr2,2,2,141.7,26.5
41,1,1,0,sub26fbtr2,2,2,139.0,28.1
42,0,1,0,sub26fbtr2,2,2,96.6,26.8
43,1,1,0,sub26fbtr2,2,2,81.3,9.5
44,1,1,0,sub26fbtr2,2,2,79.6,5.3
45,0,0,0,sub26fbtr2,2,2,85.2,18.0
46,1,1,0,sub26fbtr2,2,2,80.8,3.2
47,0,1,0,sub26fbtr2,2,2,80.9,3.2
48,0,0,0,sub26fbtr2,2,2,82.0,21.7
49,1,1,0,sub26fbtr2,2,2,75.5,4.4
50,1,1,0,sub26fbtr2,2,2,77.9,4.6
51,0,1,0,sub26fbtr2,2,2,81.8,4.5
52,0,0,0,sub26fbtr2,2,2,79.5,3.8
53,0,0,0,sub26fbtr2,2,2,77.3,4.6
54,0,0,0,sub26fbtr2,2,2,78.7,4.8
55,0,0,0,sub26fbtr2,2,2,81.0,7.3
56,1,1,0,sub26fbtr2,2,2,78.1,4.9
57,0,1,0,sub26fbtr2,2,2,77.1,4.0
58,1,1,0,sub26fbtr2,2,2,75.7,4.7
59,1,1,0,sub26fbtr2,2,2,77.5,4.3
60,0,1,1,sub26fbtr2A,2,2A,74.1,7.0
61,1,0,1,sub26fbtr2A,2,2A,77.5,7.1
62,0,0,1,sub26fbtr2A,2,2A,76.8,15.3
63,1,1,1,sub26fbtr2A,2,2A,71.0,7.0
64,1,1,1,sub26fbtr2A,2,2A,71.4,7.1
65,0,1,1,sub26fbtr2A,2,2A,73.9,6.6
66,0,0,1,sub26fbtr2A,2,2A,73.4,5.3
67,0,0,1,sub26fbtr2A,2,2A,70.3,7.3
68,1,1,1,sub26fbtr2A,2,2A,71.2,5.6
69,0,0,1,sub26fbtr2A,2,2A,74.6,6.3
70,1,1,1,sub26fbtr2A,2,2A,75.1,6.0
71,1,1,1,sub26fbtr2A,2,2A,83.5,27.9
72,1,1,1,sub26fbtr2A,2,2A,73.4,3.1
73,0,0,1,sub26fbtr2A,2,2A,75.2,5.7
74,0,1,1,sub26fbtr2A,2,2A,77.6,5.2
75,0,1,1,sub26fbtr2A,2,2A,76.0,10.3
76,0,0,1,sub26fbtr2A,2,2A,74.7,5.2
77,1,1,1,sub26fbtr2A,2,2A,75.8,5.7
78,1,1,1,sub26fbtr2A,2,2A,75.7,4.6
79,1,1,1,sub26fbtr2A,2,2A,77.3,5.2
80,0,1,0,sub26fbtr3,3,3,67.3,2.8
81,1,1,0,sub26fbtr3,3,3,69.8,4.9
82,0,1,0,sub26fbtr3,3,3,70.2,3.4
83,0,1,0,sub26fbtr3,3,3,71.7,5.3
84,0,1,0,sub26fbtr3,3,3,72.2,8.8
85,0,1,0,sub26fbtr3,3,3,69.6,5.0
86,0,0,0,sub26fbtr3,3,3,74.9,6.0
87,1,1,0,sub26fbtr3,3,3,74.7,7.0
88,1,1,0,sub26fbtr3,3,3,68.7,4.7
89,1,0,0,sub26fbtr3,3,3,71.3,5.2
90,0,0,0,sub26fbtr3,3,3,72.2,5.7
